               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055505,             0.15711,            0.041205,             0.52173,             0.57846,             0.55801,              0.3557,            0.054453,             0.21221,            0.042078,            0.008812,            0.008812,            0.008812
                  38,            0.056527,             0.15871,             0.04076,             0.53029,             0.58931,             0.56149,             0.34734,            0.054577,             0.21491,            0.041537,            0.008779,            0.008779,            0.008779
                  39,            0.054176,             0.15837,            0.039356,             0.58182,             0.59371,             0.58079,             0.35792,            0.055345,             0.21579,            0.040869,            0.008746,            0.008746,            0.008746
                  40,            0.056258,             0.15651,            0.038962,             0.62016,             0.59091,             0.60054,             0.37166,            0.056152,             0.21211,             0.04025,            0.008713,            0.008713,            0.008713
                  41,            0.055143,             0.15501,            0.038638,             0.62739,             0.60202,             0.61035,             0.37715,            0.056094,             0.21271,            0.039403,             0.00868,             0.00868,             0.00868
                  42,            0.055929,             0.15365,            0.037441,             0.62518,             0.62347,             0.61882,             0.36336,            0.056588,             0.21361,             0.03889,            0.008647,            0.008647,            0.008647
                  43,            0.053895,             0.15508,            0.036881,              0.6309,             0.60392,             0.61063,             0.38058,            0.056185,             0.21347,            0.038329,            0.008614,            0.008614,            0.008614
                  44,            0.055084,             0.15333,            0.035907,             0.64584,             0.61883,             0.62268,             0.38066,            0.055309,             0.21265,            0.037823,            0.008581,            0.008581,            0.008581
                  45,            0.053852,             0.15324,            0.035293,             0.66119,             0.62982,             0.63775,             0.39107,            0.056198,             0.21564,            0.037453,            0.008548,            0.008548,            0.008548
                  46,            0.054929,             0.15721,            0.034883,             0.67591,             0.64931,             0.64863,             0.40225,             0.05457,             0.21568,            0.036769,            0.008515,            0.008515,            0.008515
                  47,            0.055238,             0.15922,            0.034871,             0.70258,              0.6474,              0.6595,             0.44298,            0.053924,             0.21303,             0.03624,            0.008482,            0.008482,            0.008482
                  48,             0.05402,             0.15772,            0.033195,             0.70017,             0.65156,             0.66444,             0.40017,            0.056081,             0.21432,            0.035757,            0.008449,            0.008449,            0.008449
                  49,            0.053608,             0.15319,            0.033321,             0.72902,             0.66941,             0.67801,             0.45406,            0.053128,             0.20646,            0.035254,            0.008416,            0.008416,            0.008416
                  50,            0.053533,             0.15134,            0.032321,             0.72374,             0.67082,             0.68021,             0.41629,            0.055835,             0.21328,            0.034776,            0.008383,            0.008383,            0.008383
                  51,             0.05376,             0.15125,            0.032199,             0.75139,             0.69472,             0.69474,             0.46492,            0.054529,             0.21075,            0.034546,             0.00835,             0.00835,             0.00835
                  52,             0.05545,             0.15537,            0.032365,              0.7547,              0.6965,             0.70392,             0.42602,            0.054975,              0.2119,            0.034163,            0.008317,            0.008317,            0.008317
                  53,            0.054695,             0.15188,            0.031833,             0.76792,             0.69442,             0.70717,             0.47189,            0.052967,             0.20874,             0.03389,            0.008284,            0.008284,            0.008284
                  54,            0.054486,             0.16243,            0.031794,             0.77426,             0.69825,             0.71406,             0.47178,            0.054174,             0.20769,            0.033647,            0.008251,            0.008251,            0.008251
                  55,            0.053017,              0.1512,            0.030533,             0.78025,             0.70686,             0.72133,             0.45216,            0.054607,             0.21015,            0.033238,            0.008218,            0.008218,            0.008218
                  56,            0.052837,             0.14438,             0.02978,             0.77143,             0.71284,             0.71934,             0.45574,            0.055007,             0.21013,            0.033028,            0.008185,            0.008185,            0.008185
                  57,             0.05359,             0.15681,            0.030299,              0.8026,             0.70193,             0.72428,             0.47435,            0.054643,             0.20995,            0.032919,            0.008152,            0.008152,            0.008152
                  58,            0.053407,             0.15409,            0.029788,              0.7817,             0.70607,              0.7238,             0.46853,            0.054365,             0.21002,            0.032607,            0.008119,            0.008119,            0.008119
                  59,            0.052761,             0.15077,            0.029451,             0.78227,             0.70699,             0.71884,             0.47608,            0.053904,             0.21131,            0.032837,            0.008086,            0.008086,            0.008086
                  60,            0.053566,             0.15548,            0.029565,             0.79454,             0.73054,             0.73351,             0.48293,            0.054138,             0.20786,            0.032239,            0.008053,            0.008053,            0.008053
                  61,            0.052689,             0.15245,            0.029005,             0.80871,             0.73315,             0.74057,             0.48818,            0.053652,             0.20758,            0.031914,             0.00802,             0.00802,             0.00802
                  62,            0.054255,             0.15557,            0.029611,             0.81923,              0.7297,             0.74313,             0.49493,            0.053757,             0.20885,            0.031689,            0.007987,            0.007987,            0.007987
                  63,            0.051773,             0.14945,            0.028376,             0.81477,             0.72625,             0.74182,             0.50424,            0.052844,             0.20586,            0.031638,            0.007954,            0.007954,            0.007954
                  64,            0.052612,             0.14801,            0.028292,             0.82431,             0.73246,             0.74162,             0.47888,             0.05438,             0.21107,            0.031413,            0.007921,            0.007921,            0.007921
                  65,            0.052879,             0.15163,            0.028242,             0.81805,             0.74444,             0.74789,              0.4896,            0.053845,             0.21365,            0.031178,            0.007888,            0.007888,            0.007888
                  66,            0.052001,             0.14687,            0.027613,             0.82636,             0.73174,             0.74401,             0.50372,            0.053198,             0.20924,            0.031154,            0.007855,            0.007855,            0.007855
                  67,            0.053176,             0.14932,            0.028385,             0.82657,             0.73545,              0.7484,             0.51464,             0.05204,             0.20744,            0.030962,            0.007822,            0.007822,            0.007822
                  68,            0.052947,             0.15215,             0.02743,             0.82058,             0.74561,             0.75284,             0.49886,            0.053686,             0.20864,             0.03094,            0.007789,            0.007789,            0.007789
                  69,            0.050895,             0.14251,            0.026802,             0.82446,             0.75116,             0.75371,             0.50037,            0.053083,             0.20836,            0.030745,            0.007756,            0.007756,            0.007756
                  70,            0.052905,             0.15205,            0.027454,              0.8251,             0.75261,             0.75058,             0.49398,            0.053128,             0.20921,            0.030605,            0.007723,            0.007723,            0.007723
                  71,            0.050907,               0.147,             0.02695,             0.83503,             0.75544,             0.75555,              0.5104,            0.052767,             0.20826,            0.030406,             0.00769,             0.00769,             0.00769
                  72,            0.052355,             0.14972,            0.027285,             0.82949,             0.75618,             0.75297,             0.50549,            0.052372,             0.20665,            0.030653,            0.007657,            0.007657,            0.007657
                  73,            0.050827,             0.14429,            0.025861,             0.84069,             0.75409,             0.75823,             0.51803,            0.052373,              0.2093,            0.029962,            0.007624,            0.007624,            0.007624
                  74,            0.051038,             0.14598,            0.025907,             0.82472,              0.7494,             0.75276,             0.52225,            0.052154,             0.20948,            0.030159,            0.007591,            0.007591,            0.007591
                  75,            0.050231,             0.14591,            0.026203,             0.83843,             0.75322,             0.75848,             0.51189,            0.052916,             0.21038,             0.02993,            0.007558,            0.007558,            0.007558
                  76,            0.051104,             0.14205,            0.025733,             0.83485,             0.75877,             0.76164,             0.51979,            0.051975,             0.20606,            0.029884,            0.007525,            0.007525,            0.007525
                  77,            0.051202,             0.14929,            0.026225,              0.8318,             0.75593,             0.75911,             0.53813,             0.05151,             0.20487,            0.029964,            0.007492,            0.007492,            0.007492
                  78,             0.05167,             0.14496,            0.026296,             0.82665,             0.75485,             0.75665,             0.51978,            0.052125,             0.20602,             0.02973,            0.007459,            0.007459,            0.007459
                  79,            0.050729,             0.14965,            0.025777,             0.83952,              0.7538,             0.75473,             0.51329,            0.052162,             0.20698,            0.029784,            0.007426,            0.007426,            0.007426
                  80,             0.05149,             0.14803,            0.026199,             0.83539,             0.76789,             0.76602,             0.51726,            0.052821,             0.20876,            0.029477,            0.007393,            0.007393,            0.007393
