               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              0.0569,             0.15402,            0.040437,             0.60875,             0.59519,             0.59944,             0.38174,            0.054548,             0.21232,            0.041339,            0.008812,            0.008812,            0.008812
                  38,            0.055834,             0.15275,            0.039692,             0.63025,             0.59305,             0.60952,             0.38452,            0.054844,             0.21363,            0.040517,            0.008779,            0.008779,            0.008779
                  39,            0.055678,             0.15812,            0.038742,             0.64686,             0.60464,             0.61663,             0.39488,            0.054363,             0.21475,             0.03997,            0.008746,            0.008746,            0.008746
                  40,            0.055196,             0.15399,            0.037882,             0.65422,             0.60924,             0.62279,             0.41073,            0.054083,             0.20955,            0.039615,            0.008713,            0.008713,            0.008713
                  41,            0.055996,             0.15611,            0.037406,             0.67048,             0.61669,             0.63417,             0.40205,            0.054313,             0.21236,            0.038588,             0.00868,             0.00868,             0.00868
                  42,            0.054688,             0.15188,            0.036397,             0.68369,             0.62978,             0.63979,              0.4198,            0.053474,             0.21417,            0.038002,            0.008647,            0.008647,            0.008647
                  43,            0.054522,             0.14765,            0.034984,             0.68781,             0.64044,             0.64839,             0.39514,            0.055717,             0.21659,            0.037247,            0.008614,            0.008614,            0.008614
                  44,            0.055112,             0.15111,            0.034723,             0.69423,             0.64855,             0.64613,              0.4176,            0.054439,             0.21342,            0.036963,            0.008581,            0.008581,            0.008581
                  45,            0.054704,             0.15108,            0.033896,             0.70976,              0.6471,             0.66101,             0.43098,            0.054502,             0.21217,            0.036214,            0.008548,            0.008548,            0.008548
                  46,            0.054209,             0.14702,             0.03361,             0.68921,             0.66198,             0.66117,             0.42424,            0.054637,              0.2144,            0.035742,            0.008515,            0.008515,            0.008515
                  47,            0.055827,             0.15515,            0.033819,              0.7236,             0.65934,             0.67531,             0.43861,            0.054196,             0.21225,             0.03557,            0.008482,            0.008482,            0.008482
                  48,            0.054055,             0.14782,            0.032731,             0.73758,               0.677,             0.68403,             0.44503,            0.054251,             0.21132,            0.034993,            0.008449,            0.008449,            0.008449
                  49,            0.053677,             0.14986,               0.032,             0.75773,             0.67644,             0.69433,             0.45933,            0.053298,             0.21623,            0.034677,            0.008416,            0.008416,            0.008416
